time,variable,value_character,value_type,value_numeric
2007-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2008-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2009-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2010-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2011-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2012-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2013-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2014-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2015-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2016-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2017-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2018-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2019-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
2020-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce CC),character,NA
1994-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
1995-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
1996-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
1997-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
1998-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
1999-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2000-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2001-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2002-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2003-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2004-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2005-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2006-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2007-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2008-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2009-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2010-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2011-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2012-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2013-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2014-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2015-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2016-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2017-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2018-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
2019-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce CC),character,NA
1994-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
1995-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
1996-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
1997-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
1998-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
1999-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2000-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2001-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2002-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2003-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2004-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2005-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2006-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2007-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2008-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2009-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2010-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2011-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2012-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2013-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2014-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2015-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2016-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2017-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2018-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2019-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
2020-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce CC),character,NA
1997-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
1998-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
1999-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2000-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2001-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2002-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2003-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2004-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2005-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2006-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2007-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2008-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2009-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2010-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2011-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2012-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2013-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2014-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2015-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2016-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2017-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
2018-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) Central,character,NA
1997-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
1998-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
1999-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2000-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2001-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2002-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2003-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2004-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2005-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2006-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2007-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2008-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2009-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2010-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2011-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2012-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2013-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2014-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2015-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2016-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2017-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2018-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
2019-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) Central,character,NA
1997-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
1998-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
1999-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2000-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2001-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2002-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2003-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2004-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2005-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2006-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2007-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2008-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2009-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2010-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2011-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2012-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2013-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2014-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2015-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2016-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2017-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2018-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
2019-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) Central,character,NA
1997-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
1998-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
1999-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2000-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2001-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2002-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2003-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2004-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2005-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2006-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2007-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2008-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2009-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2010-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2011-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2012-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2013-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2014-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2015-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2016-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2017-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
2018-01-01T00:00:00Z,species_cohort,Northern fulmar encounter rate (Ce/So CC) Central,character,NA
1997-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
1998-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
1999-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2000-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2001-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2002-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2003-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2004-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2005-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2006-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2007-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2008-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2009-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2010-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2011-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2012-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2013-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2014-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2015-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2016-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2017-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2018-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
2019-01-01T00:00:00Z,species_cohort,Brandts cormorant encounter rate (Ce/So CC) Central,character,NA
1997-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
1998-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
1999-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2000-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2001-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2002-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2003-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2004-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2005-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2006-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2007-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2008-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2009-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2010-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2011-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2012-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2013-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2014-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2015-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2016-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2017-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
2018-01-01T00:00:00Z,species_cohort,Cassins auklet encounter rate (Ce/So CC) North,character,NA
1997-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
1998-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
1999-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2000-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2001-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2002-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2003-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2004-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2005-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2006-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2007-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2008-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2009-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2010-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2011-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2012-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2013-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2014-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2015-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2016-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2017-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2018-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
2019-01-01T00:00:00Z,species_cohort,Common murre encounter rate(Ce/So CC) North,character,NA
1997-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) North,character,NA
1998-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) North,character,NA
1999-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) North,character,NA
2000-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) North,character,NA
2001-01-01T00:00:00Z,species_cohort,Sooty shearwater encounter rate (Ce/So CC) North,character,NA
